area_id,map_id,serial_id,next_map_id,next_area_id,name,caption
101,1,1,1,102,1-エリア#1,1-エリア#1
102,1,2,1,103,1-エリア#2,1-エリア#2
103,1,3,1,104,1-エリア#3,1-エリア#3
104,1,4,1,105,1-エリア#4,1-エリア#4
105,1,5,2,201,1-エリア#5,1-エリア#5
201,2,1,2,202,2-エリア#1,2-エリア#1
202,2,2,2,203,2-エリア#2,2-エリア#2
203,2,3,2,204,2-エリア#3,2-エリア#3
204,2,4,2,205,2-エリア#4,2-エリア#4
205,2,5,3,301,2-エリア#5,2-エリア#5
301,3,1,3,302,3-エリア#1,3-エリア#1
302,3,2,3,303,3-エリア#2,3-エリア#2
303,3,3,3,304,3-エリア#3,3-エリア#3
304,3,4,3,305,3-エリア#4,3-エリア#4
305,3,5,4,401,3-エリア#5,3-エリア#5
401,4,1,4,402,4-エリア#1,4-エリア#1
402,4,2,4,403,4-エリア#2,4-エリア#2
403,4,3,4,404,4-エリア#3,4-エリア#3
404,4,4,4,405,4-エリア#4,4-エリア#4
405,4,5,5,501,4-エリア#5,4-エリア#5
501,5,1,5,502,5-エリア#1,5-エリア#1
502,5,2,5,503,5-エリア#2,5-エリア#2
503,5,3,5,504,5-エリア#3,5-エリア#3
504,5,4,5,505,5-エリア#4,5-エリア#4
505,5,5,0,0,5-エリア#5,5-エリア#5
